period;focal;drum;hrm
1;ALF;0;1
1;ALF;1;1
1;ALF;1;0
1;ALF;1;0
1;ALF;0;0
1;ALF;1;0
1;ALF;1;0
1;ALF;0;0
1;TRS;1;0
1;TRS;1;1
1;TRS;0;0
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;TRS;0;1
1;MAC;1;0
1;MAC;0;0
1;MAC;1;0
1;MAC;0;0
1;MAC;0;1
1;MAC;1;0
1;MAC;0;1
1;MAC;0;1
1;ALF;1;0
1;ALF;1;0
1;ALF;0;0
1;ALF;1;0
1;ALF;1;0
1;ALF;1;0
1;ALF;0;0
1;MAC;1;0
1;SAM;1;0
1;SAM;1;0
1;MAC;0;0
1;MAC;1;0
1;ALF;0;0
1;ALF;0;0
1;ILA;1;0
1;ILA;1;1
1;ILA;1;1
1;ILA;1;0
1;ILA;0;0
1;ILA;1;0
1;ILA;0;1
1;MAC;1;1
1;MAC;0;1
1;TRS;0;0
1;TRS;1;0
1;TRS;1;0
1;TRS;1;0
1;ILA;0;1
1;MAC;0;1
1;MAC;0;1
2;MAC;1;1
2;MAC;1;0
2;MAC;0;0
2;MAC;0;1
2;MAC;1;1
2;MAC;1;1
2;MAC;1;1
2;MAC;0;1
2;MAC;1;1
2;MAC;1;1
2;MAC;1;1
2;MAC;0;0
2;ALF;0;0
2;ALF;1;1
2;ALF;1;0
2;ALF;1;0
2;ALF;1;0
2;FID;1;0
2;FID;0;1
2;FID;0;0
2;FID;1;0
2;FID;1;1
2;FID;0;1
2;FID;0;1
2;FID;1;1
2;FID;1;1
2;FID;0;1
2;FID;0;1
2;FID;1;1
2;FID;1;1
2;FID;0;1
2;FID;0;1
2;FID;1;1
2;FID;1;1
2;FID;1;1
2;FID;0;1
2;MAC;0;0
2;MAC;0;0
2;MAC;0;1
2;MAC;0;1
2;MAC;0;1
2;MAC;0;1
2;MAC;0;1
2;MAC;0;1
2;ILA;1;0
2;ILA;1;1
2;ILA;1;1
2;ILA;1;0
2;ILA;1;0
2;ILA;1;0
2;SAM;0;1
2;LAF;0;1
2;SAM;1;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;1
2;TRS;1;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;1;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;TRS;1;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;1
2;LAF;1;0
2;LAF;1;1
2;LAF;1;1
2;LAF;0;1
2;LAF;0;1
2;LAF;0;1
2;FID;0;1
2;FID;1;0
2;FID;1;0
2;ALF;0;1
2;ALF;0;1
2;ALF;1;0
2;ALF;1;0
2;ALF;0;0
2;ALF;0;0
2;ALF;0;1
2;ALF;0;1
2;ALF;1;1
2;ALF;0;1
2;ALF;0;1
2;ALF;0;1
2;ALF;0;1
2;ALF;0;1
2;ALF;0;1
2;ALF;0;1
2;TRS;0;0
2;ILA;1;0
2;ILA;1;1
2;ILA;1;1
2;ILA;0;1
2;ILA;0;1
2;ILA;0;1
2;ILA;1;0
2;ILA;1;1
2;ILA;0;1
2;ILA;1;1
2;ILA;1;1
2;MAC;1;0
2;MAC;1;0
2;MAC;0;1
2;MAC;0;1
2;LAF;1;0
2;TRS;0;0
2;TRS;0;0
2;TRS;0;1
2;TRS;1;0
2;TRS;1;0
2;TRS;0;0
2;TRS;1;0
2;TRS;0;0
2;TRS;0;1
2;TRS;0;0
2;TRS;1;0
2;TRS;1;0
2;TRS;1;0
2;TRS;1;0
2;TRS;0;1
2;TRS;0;1
2;TRS;0;1
2;TRS;0;1
2;TRS;0;0
2;TRS;0;0
2;TRS;0;0
2;SAM;1;0
2;SAM;1;0
2;SAM;1;0
2;SAM;1;0
2;SAM;1;0
2;TRS;1;0
2;SAM;0;0
2;SAM;0;0