drum_id,file_name,tree_id,date,time,focal_id,ind_id,plot,context_before,context_after,context_use,response,response_origin,chorus,chorus_origin,panthoot,tree_species,n_buttresses,CBH,DBH_measure,buttress_area,area_m2,buttress_width,width_cm,Notes
002DR,Budongo WS WW 2023-06-07 Clip 11 16;17 LAF DR,002TR,20230607,,LAF,LAF,37D,travel,travel,travel,n,,start,same party,y,CMI,5,228,57,19448,1.9448,69.66666667,6.966666667,
003DR,Budongo WS WW 2023-06-08 Clip 01 10;38 ALF DR tree description,003TR,20230608,10:38,ALF,ALF,D,travel,feeding,arrival at feeding tree,n,,start,same party,y,CYA,4,175,54,5197.5,0.51975,67.66666667,6.766666667,
004DR,Budongo WS WW 2023-06-12 Clip 01 07;11 MAC DR tree description,004TR,20230612,07:11,MAC,MAC,30J,travel,feeding,arrival at feeding tree,n,,n,,y,CYA,12,,97,18432,1.8432,68,6.8,
005DR,Budongo WS WW 2023-06-12 Clip 02 08;24 MAC (JNO) DR,005TR,20230612,08:24,MAC,MAC,30N,travel,travel,travel,n,,start,same party,y,CYA,7,153,61,15386,1.5386,50,5,
006DR,Budongo WS WW 2023-06-12 Clip 03 08;27 MAC DR,006TR,20230612,08:27,MAC,MAC,30N,travel,travel,travel,n,,start,same party,y,CMI,7,156,44,7322.5,0.73225,54.33333333,5.433333333,
007DR,Budongo WS WW 2023-06-12 Clip 12 11;02 ONY (DAU DR),007TR,20230612,11:02,MAC,DAU,25P,display,display,display,n,,n,,n,FSU,11,153,46,,,,,
008DR,Budongo WS WW 2023-06-12 Clip 16 16;11 xxx (BEN DR),008TR,20230612,16:11,MAC,BEN,25P,travel,travel,travel,n,,n,,y,CYA,13,213,43,,,,,
009DR,missing,009TR,20230613,,BEN,BEN,29F,travel,travel,travel,unk,,unk,,unk,CYA,13,194,58,15369,1.5369,76.66666667,7.666666667,
010DR,missing,010TR,20230613,~10.00,BEN,BEN,32D,travel,resting,travel,unk,,unk,,unk,CYA,5,176,57,5700,0.57,53.33333333,5.333333333,
011DR,missing,011TR,20230613,~10.30,BEN,DAU,32D,display,display,display,unk,,unk,,unk,CYA,4,,80,14820,1.482,56.66666667,5.666666667,
012DR,missing,012TR,20230613,,BEN,ILA,32D,travel,feeding,arrival at feeding tree,unk,,unk,,unk,CYA,11,116,34,22215.5,2.22155,20,2,
013DR,Budongo WS WW 2023-06-14 Clip 19 09;48 MUG DR,013TR,20230614,09:48,MUG,MUG,37H,display,display,display,y,"same party, different community",join,"same party, different community",y,CZE,7,177,55,9752,0.9752,51,5.1,
014DR,Budongo WS WW 2023-06-14 Clip 24 09;58 MUG DR,014TR,20230614,09:58,MUG,MUG,37H,display,display,display,y,"same party, different community",join,"same party, different community",y,CYA,6,220,64,33968,3.3968,88.33333333,8.833333333,
015DR,Budongo WS WW 2023-06-14 Clip 25 09;59 MUG DR,015TR,20230614,09:59,MUG,MUG,37H,display,display,display,y,"same party, different community",join,"same party, different community",y,CYA,6,266,77,18333,1.8333,65.33333333,6.533333333,
016DR,Budongo WS WW 2023-06-14 Clip 26 10;12 ALF DR,016TR,20230614,10:12,ALF,ALF,37J,resting,resting,resting,y,same community,n,,y,CYA,10,,114,42780,4.278,33.33333333,3.333333333,
017DR,Budongo WS WW 2023-06-14 Clip 28 11;12 MUG DR,017TR,20230614,11:12,MUG,MUG,37L,travel,travel,travel,n,,n,,y,CYA,10,,115,98353.5,9.83535,50.66666667,5.066666667,
018DR,Budongo WS WW 2023-06-17 Clip 03 08;23 JNO ILA DR,005TR,20230617,08:23,ILA,ILA,30N,travel,resting,travel,y,same community,n,,y,CYA,7,153,61,15386,1.5386,50,5,
019DR,na,019TR,20230620,07:15,FID,FID,15F,travel,feeding,arrival at feeding tree,n,,n,,y,FE,5,119,36,6633,0.6633,102,10.2,
020DR,na,020TR,20230620,07:15,FID,FID,15F,travel,feeding,arrival at feeding tree,n,,n,,y,CAL,9,,59,14839,1.4839,70,7,
021DR,na,021TR,20230620,07:15,FID,FID,15F,travel,feeding,arrival at feeding tree,n,,n,,y,CAL,10,114,35,6624,0.6624,56.66666667,5.666666667,
022DR,na,022TR,20230620,11:15,FID,ARD,21J,travel,travel,travel,unk,,unk,,unk,CAL,8,230,60,27455,2.7455,67.66666667,6.766666667,
023DR,na,023TR,20230620,11:50,FID,FID,17N,display,display,display,n,,n,,y,CYA,8,,125,125437.5,12.54375,106.3333333,10.63333333,
024DR,na,023TR,20230620,11:50,FID,FID,17N,display,display,display,n,,n,,y,CYA,8,,125,61664,6.1664,103.6666667,10.36666667,
025DR,na,023TR,20230620,11:50,FID,FID,17N,display,display,display,n,,n,,y,CYA,8,,125,125437.5,12.54375,106.3333333,10.63333333,
026DR,Budongo WS WW 2023-06-23 Clip 21 11;38 ALF DAU MAC MUG DR,024TR,20230623,11:38,,ALF,35F,display,display,display,n,,start,same party,y,CMI,7,,61,18915,1.8915,65.33333333,6.533333333,
027DR,Budongo WS WW 2023-06-23 Clip 21 11;38 ALF DAU MAC MUG DR,024TR,20230623,11:38,,DAU,35F,display,display,display,y,same party,join,same party,y,CMI,7,,61,11702.5,1.17025,55,5.5,
028DR,Budongo WS WW 2023-06-23 Clip 21 11;38 ALF DAU MAC MUG DR,024TR,20230623,11:38,,MAC,35F,display,display,display,y,same party,join,same party,y,CMI,7,,61,11702.5,1.17025,55,5.5,
029DR,Budongo WS WW 2023-06-23 Clip 22 11;40 ALF DR,024TR,20230623,11:40,,ALF,35F,display,display,display,n,,n,,y,CMI,7,,61,18915,1.8915,65.33333333,6.533333333,
030DR,Budongo WS WW 2023-07-05 Clip 01 08;08 SAM (ILA) no sound DR,025TR,20230705,08:08,SAM,ILA,25V,resting,travel,travel,unk,,unk,,y,CYA,11,,94,104940,10.494,53,5.3,
031DR,Budongo WS WW 2023-07-05 Clip 02 08;12 ILA (SAM) no sound DR,025TR,20230705,08:12,SAM,ILA,25V,display,display,display,n,,join,same party,y,CYA,11,,94,104940,10.494,53,5.3,
032DR,Budongo WS WW 2023-07-05 Clip 02 08;12 ILA (SAM) no sound DR,025TR,20230705,08:12,SAM,SAM,25V,display,display,display,y,same party,n,,y,CYA,11,,94,76035,7.6035,57.66666667,5.766666667,
033DR,Budongo WS WW 2023-07-05 Clip 04 08;23 ILA SAM no sound DR,026TR,20230705,08:23,SAM,ILA,25V,eating,eating,eating,y,same party,n,,y,CYA,11,313,94,18778,1.8778,49,4.9,
034DR,Budongo WS WW 2023-07-05 Clip 09 09;30 SAM DR,027TR,20230705,09:30,SAM,SAM,25V,travel,resting,travel,n,,n,,y,CYA,8,197,61,8925,0.8925,35.66666667,3.566666667,
036DR,Budongo WS WW 2023-07-06 Clip 01 08;32 ILA FID DR,028TR,20230706,08:32,ILA,ILA,30R,travel,travel,travel,n,,start,,y,CAL,8,204,50,12198,1.2198,50.33333333,5.033333333,
037DR,Budongo WS WW 2023-07-06 Clip 01 08;32 ILA FID DR,028TR,20230706,08:32,ILA,FID,30R,travel,travel,travel,n,,join,same party,y,CAL,8,204,50,12198,1.2198,50.33333333,5.033333333,
038DR,Budongo WS WW 2023-07-06 Clip 11 09;25 ALF MAS FID DR,029TR,20230706,09:25,ILA,ALF,25T,resting,resting,resting,n,,join,same party,y,CAL,9,179,65,4469,0.4469,48,4.8,
039DR,Budongo WS WW 2023-07-06 Clip 11 09;25 ALF MAS FID DR,029TR,20230706,09:25,ILA,MAS,25T,resting,resting,resting,n,,start,,y,CAL,9,179,65,4469,0.4469,48,4.8,
040DR,Budongo WS WW 2023-07-06 Clip 11 09;25 ALF MAS FID DR,029TR,20230706,09:25,ILA,FID,25T,resting,resting,resting,n,,join,same party,y,CAL,9,179,65,4469,0.4469,48,4.8,
041DR,Budongo WS WW 2023-07-07 Clip 05 08;47 MAC DR,030TR,20230707,08:47,MAC,MAC,17F,display,display,display,n,,n,,y,CAL,14,,54,4915.5,0.49155,35.33333333,3.533333333,
043DR,Budongo WS WW 2023-07-11 Clip 02 08;28 LAF DR,032TR,20230711,08:28,LAF,LAF,17D,resting,resting,resting,y,different party,n,,y,CAL,9,,56,23828,2.3828,67,6.7,
045DR,Budongo WS WW 2023-07-13 Clip 03 13;05 NEV NIM (NGO) (FID DR),034TR,20230713,13:05,ALF,FID,,display,display,display,n,,n,,n,CZE,4,67,17,6043.50,0.60435,43.66666667,4.366666667,
046DR,Budongo WS WW 2023-07-13 Clip 08 13;44 MAC DR,035TR,20230713,13:44,ALF,MAC,,display,display,display,n,,n,,n,CMI,10,,108,42000.00,4.2,203.3333333,20.33333333,
047DR,Budongo WS WW 2023-07-14 Clip 04 10;23 LAN DR,036TR,20230714,10:23,MAS,LAN,17D?,resting,resting,resting,n,,start,same party,y,CZE,5,110,29,24388.5,2.43885,50.33333333,5.033333333,
048DR,Budongo WS WW 2023-07-17 Clip 01 09;04 (LAN DR),037TR,20230717,09:04,LAN,LAN,20F?,travel,resting,travel,y,different party,unk,same party,y,CMU,8,,80,,,,,
049DR,Budongo WS WW 2023-07-18 Clip 01 09;29 LAN DR,038TR,20230718,09:29,MAC,LAN,,display,display,display,n,,n,,n,CYA,6,133,30,7227.5,0.72275,60.33333333,6.033333333,
050DR,Budongo WS WW 2023-07-19 Clip 02 07;38 DAU LAN,039TR,20230719,07:38,DAU,LAN,,travel,travel,travel,n,,start,same party,y,CYA,14,150,30,22244,2.2244,52,5.2,
051DR,Budongo WS WW 2023-07-19 Clip 02 07;38 DAU LAN,039TR,20230719,07:38,DAU,DAU,,travel,travel,travel,n,,join,same party,y,CYA,14,150,30,22244,2.2244,52,5.2,
052DR,Budongo WS WW 2023-07-19 Clip 06 08;04 ALF DAU DR,040TR,20230719,08:04,DAU,ALF,,resting,travel,travel,n,,start,same party,y,CMU,5,,77,20099,2.0099,54,5.4,
053DR,Budongo WS WW 2023-07-20 Clip 03 11;07 MUG DR,041TR,20230720,11:07,MUG,MUG,,display,display,display,n,,n,,n,CYA,17,,104,23012.5,2.30125,50,5,
054DR,Budongo WS WW 2023-07-24 Clip 01 09;08 DAU DR,042TR,20230724,09:08,,DAU,,travel,travel,travel,n,,start,same party,y,CAL,7,,47,5076,0.5076,80,8,
055DR,Budongo WS WW 2023-07-24 Clip 02 09;14 FID DR,043TR,20230724,09:14,,DAU,,travel,resting,travel,n,,start,same party,y,CAL,9,,78,14722,1.4722,86,8.6,
056DR,Budongo WS WW 2023-07-24 Clip 02 09;14 FID DR,043TR,20230724,09:14,,FID,,travel,resting,travel,n,,join,same party,y,CAL,9,,78,14722,1.4722,86,8.6,
057DR,Budongo WS WW 2023-07-24 Clip 03 09;36 (DAU DR),044TR,20230724,09:36,,DAU,,travel,travel,travel,y,different party,unk,,y,CYA,7,274,60,,,,,
058DR,Budongo WS WW 2023-07-26 Clip 01 07;45 DAU DR,045TR,20230726,07:45,DAU,DAU,,display,display,display,n,,n,,n,BSA,7,237,43,,,,,same display as next two
059DR,Budongo WS WW 2023-07-26 Clip 01 07;45 DAU DR,046TR,20230726,07:45,DAU,DAU,,display,display,display,n,,n,,n,FSU,5,,84,,,,,same display as previous and next
060DR,Budongo WS WW 2023-07-26 Clip 01 07;45 DAU DR,047TR,20230726,07:45,DAU,DAU,,display,feeding,display,n,,n,,n,CMU,5,,63,19964,1.9964,83.66666667,8.366666667,same display as previous two
061DR,Budongo WS WW 2023-07-26 Clip 02 08;20 DAU DR,048TR,20230726,08:20,DAU,DAU,,travel,travel,travel,n,,n,,y,CMI,6,230,58,6576,0.6576,47.66666667,4.766666667,
062DR,Budongo WS WW 2023-07-26 Clip 04 09;27 AND DAU DR,049TR,20230726,09:27,DAU,DAU,,travel,travel,travel,y,different party,start,same community,y,CAL,5,,48,9872.5,0.98725,84.66666667,8.466666667,
